--- winxp.dat	2019-05-07 19:32:18.980564900 +0900
+++ win10.dat	2019-05-07 19:33:08.056942000 +0900
+kernel32.dll	AcquireSRWLockExclusive
+kernel32.dll	AcquireSRWLockShared
+kernel32.dll	ActivateActCtxWorker
+kernel32.dll	AddDllDirectory
+kernel32.dll	AddIntegrityLabelToBoundaryDescriptor
+kernel32.dll	AddRefActCtxWorker
+kernel32.dll	AddResourceAttributeAce
+kernel32.dll	AddSIDToBoundaryDescriptor
+kernel32.dll	AddScopedPolicyIDAce
+kernel32.dll	AddSecureMemoryCacheCallback
+kernel32.dll	AddVectoredContinueHandler
+kernel32.dll	AdjustCalendarDate
+kernel32.dll	AllocateUserPhysicalPagesNuma
+kernel32.dll	AppPolicyGetClrCompat
+kernel32.dll	AppPolicyGetCreateFileAccess
+kernel32.dll	AppPolicyGetLifecycleManagement
+kernel32.dll	AppPolicyGetMediaFoundationCodecLoading
+kernel32.dll	AppPolicyGetProcessTerminationMethod
+kernel32.dll	AppPolicyGetShowDeveloperDiagnostic
+kernel32.dll	AppPolicyGetThreadInitializationType
+kernel32.dll	AppPolicyGetWindowingModel
+kernel32.dll	AppXGetOSMaxVersionTested
+kernel32.dll	ApplicationRecoveryFinished
+kernel32.dll	ApplicationRecoveryInProgress
-kernel32.dll	BaseCleanupAppcompatCache
+kernel32.dll	BaseCheckAppcompatCacheEx
+kernel32.dll	BaseCheckAppcompatCacheExWorker
+kernel32.dll	BaseCheckAppcompatCacheWorker
+kernel32.dll	BaseCheckElevation
+kernel32.dll	BaseCleanupAppcompatCacheSupportWorker
+kernel32.dll	BaseDestroyVDMEnvironment
+kernel32.dll	BaseDllReadWriteIniFile
+kernel32.dll	BaseDumpAppcompatCacheWorker
+kernel32.dll	BaseElevationPostProcessing
-kernel32.dll	BaseInitAppcompatCache
+kernel32.dll	BaseFlushAppcompatCacheWorker
+kernel32.dll	BaseFormatObjectAttributes
+kernel32.dll	BaseFormatTimeOut
+kernel32.dll	BaseFreeAppCompatDataForProcessWorker
+kernel32.dll	BaseGenerateAppCompatData
+kernel32.dll	BaseGetNamedObjectDirectory
-kernel32.dll	BaseProcessInitPostImport
+kernel32.dll	BaseInitAppcompatCacheSupportWorker
+kernel32.dll	BaseIsAppcompatInfrastructureDisabled
+kernel32.dll	BaseIsAppcompatInfrastructureDisabledWorker
+kernel32.dll	BaseIsDosApplication
+kernel32.dll	BaseReadAppCompatDataForProcessWorker
+kernel32.dll	BaseSetLastNTError
+kernel32.dll	BaseThreadInitThunk
+kernel32.dll	BaseUpdateAppcompatCacheWorker
+kernel32.dll	BaseUpdateVDMEntry
+kernel32.dll	BaseVerifyUnicodeString
+kernel32.dll	BaseWriteErrorElevationRequiredEvent
+kernel32.dll	Basep8BitStringToDynamicUnicodeString
+kernel32.dll	BasepAllocateActivationContextActivationBlock
+kernel32.dll	BasepAnsiStringToDynamicUnicodeString
+kernel32.dll	BasepAppContainerEnvironmentExtension
+kernel32.dll	BasepAppXExtension
+kernel32.dll	BasepCheckAppCompat
+kernel32.dll	BasepCheckWebBladeHashes
+kernel32.dll	BasepConstructSxsCreateProcessMessage
+kernel32.dll	BasepCopyEncryption
+kernel32.dll	BasepFreeActivationContextActivationBlock
+kernel32.dll	BasepFreeAppCompatData
+kernel32.dll	BasepGetAppCompatData
+kernel32.dll	BasepGetComputerNameFromNtPath
+kernel32.dll	BasepGetExeArchType
+kernel32.dll	BasepInitAppCompatData
+kernel32.dll	BasepIsProcessAllowed
+kernel32.dll	BasepMapModuleHandle
+kernel32.dll	BasepNotifyLoadStringResource
+kernel32.dll	BasepPostSuccessAppXExtension
+kernel32.dll	BasepProcessInvalidImage
+kernel32.dll	BasepQueryAppCompat
+kernel32.dll	BasepQueryModuleChpeSettings
+kernel32.dll	BasepReleaseAppXContext
+kernel32.dll	BasepReleaseSxsCreateProcessUtilityStruct
+kernel32.dll	BasepReportFault
+kernel32.dll	BasepSetFileEncryptionCompression
+kernel32.dll	CallbackMayRunLong
+kernel32.dll	CancelIoEx
+kernel32.dll	CancelSynchronousIo
+kernel32.dll	CancelThreadpoolIo
+kernel32.dll	CeipIsOptedIn
+kernel32.dll	CheckAllowDecryptedRemoteDestinationPolicy
+kernel32.dll	CheckElevation
+kernel32.dll	CheckElevationEnabled
+kernel32.dll	CheckForReadOnlyResource
+kernel32.dll	CheckForReadOnlyResourceFilter
+kernel32.dll	CheckTokenCapability
+kernel32.dll	CheckTokenMembershipEx
+kernel32.dll	ClosePackageInfo
+kernel32.dll	ClosePrivateNamespace
+kernel32.dll	CloseState
+kernel32.dll	CloseThreadpool
+kernel32.dll	CloseThreadpoolCleanupGroup
+kernel32.dll	CloseThreadpoolCleanupGroupMembers
+kernel32.dll	CloseThreadpoolIo
+kernel32.dll	CloseThreadpoolTimer
+kernel32.dll	CloseThreadpoolWait
+kernel32.dll	CloseThreadpoolWork
+kernel32.dll	CompareCalendarDates
+kernel32.dll	CompareStringEx
+kernel32.dll	CompareStringOrdinal
+kernel32.dll	ConvertCalDateTimeToSystemTime
+kernel32.dll	ConvertNLSDayOfWeekToWin32DayOfWeek
+kernel32.dll	ConvertSystemTimeToCalDateTime
+kernel32.dll	ConvertThreadToFiberEx
+kernel32.dll	CopyContext
+kernel32.dll	CopyFile2
+kernel32.dll	CopyFileTransactedA
+kernel32.dll	CopyFileTransactedW
+kernel32.dll	CreateActCtxWWorker
+kernel32.dll	CreateBoundaryDescriptorA
+kernel32.dll	CreateBoundaryDescriptorW
+kernel32.dll	CreateDirectoryTransactedA
+kernel32.dll	CreateDirectoryTransactedW
+kernel32.dll	CreateEnclave
+kernel32.dll	CreateEventExA
+kernel32.dll	CreateEventExW
+kernel32.dll	CreateFile2
+kernel32.dll	CreateFileMappingFromApp
+kernel32.dll	CreateFileMappingNumaA
+kernel32.dll	CreateFileMappingNumaW
+kernel32.dll	CreateFileTransactedA
+kernel32.dll	CreateFileTransactedW
+kernel32.dll	CreateHardLinkTransactedA
+kernel32.dll	CreateHardLinkTransactedW
+kernel32.dll	CreateMutexExA
+kernel32.dll	CreateMutexExW
-kernel32.dll	CreateNlsSecurityDescriptor
+kernel32.dll	CreatePrivateNamespaceA
+kernel32.dll	CreatePrivateNamespaceW
+kernel32.dll	CreateProcessAsUserA
+kernel32.dll	CreateProcessAsUserW
-kernel32.dll	CreateProcessInternalWSecure
+kernel32.dll	CreateRemoteThreadEx
+kernel32.dll	CreateSemaphoreExA
+kernel32.dll	CreateSemaphoreExW
+kernel32.dll	CreateSymbolicLinkA
+kernel32.dll	CreateSymbolicLinkTransactedA
+kernel32.dll	CreateSymbolicLinkTransactedW
+kernel32.dll	CreateSymbolicLinkW
+kernel32.dll	CreateThreadpool
+kernel32.dll	CreateThreadpoolCleanupGroup
+kernel32.dll	CreateThreadpoolIo
+kernel32.dll	CreateThreadpoolTimer
+kernel32.dll	CreateThreadpoolWait
+kernel32.dll	CreateThreadpoolWork
-kernel32.dll	CreateVirtualBuffer
+kernel32.dll	CreateWaitableTimerExA
+kernel32.dll	CreateWaitableTimerExW
+kernel32.dll	CtrlRoutine
+kernel32.dll	DeactivateActCtxWorker
+kernel32.dll	DeleteBoundaryDescriptor
+kernel32.dll	DeleteFileTransactedA
+kernel32.dll	DeleteFileTransactedW
+kernel32.dll	DeleteProcThreadAttributeList
+kernel32.dll	DeleteSynchronizationBarrier
+kernel32.dll	DisableThreadProfiling
+kernel32.dll	DisassociateCurrentThreadFromCallback
+kernel32.dll	DiscardVirtualMemory
+kernel32.dll	DnsHostnameToComputerNameExW
+kernel32.dll	DuplicateEncryptionInfoFileExt
+kernel32.dll	EnableThreadProfiling
+kernel32.dll	EnterSynchronizationBarrier
+kernel32.dll	EnumCalendarInfoExEx
+kernel32.dll	EnumDateFormatsExEx
+kernel32.dll	EnumResourceLanguagesExA
+kernel32.dll	EnumResourceLanguagesExW
+kernel32.dll	EnumResourceNamesExA
+kernel32.dll	EnumResourceNamesExW
+kernel32.dll	EnumResourceTypesExA
+kernel32.dll	EnumResourceTypesExW
+kernel32.dll	EnumSystemFirmwareTables
+kernel32.dll	EnumSystemGeoNames
+kernel32.dll	EnumSystemLocalesEx
+kernel32.dll	EnumTimeFormatsEx
